depot_id,ttl_td_id,ttl_captain_id,ttl_point_a,ttl_point_b,max_diff_minutes_from_point_a,max_diff_minutes_idle_mode,max_diff_minutes_to_point_a,min_diff_minutes_from_point_a,min_diff_minutes_idle_mode,min_diff_minutes_to_point_a,avg_diff_minutes_from_point_a,avg_diff_minutes_idle_mode,avg_diff_minutes_to_point_a,med_diff_minutes_from_point_a,med_diff_minutes_idle_mode,med_diff_minutes_to_point_a,max_speed,min_speed,avg_speed,med_speed,ttl_td_completed,WaktuSebelumProblem,WaktuSebelumInspection,WaktuDiambikUtkRepair,labelencoded,busencoded,point_aencoded,point_bencoded,line_id_yencoded,br_idencoded,br_repair_statusencoded,br_entry_statusencoded,line_id_x_en,rtd_cause_en,br_ttl_days_en,rtd_id_en,route_id_en,bus_model_id_en,driver_id_en,capt_id_en,newlabel_en,prediction_label,prediction_score
7,20,1,1,1,38.5,78.7,77.5,21.0,0.0,0.0,29.6,31.996296,56.296665,27.0,28.516666,71.5,37.0,3.0,22.210526,22.0,20.0,0.0,0.0,0.0,2,195,115,78,16,-1,-1,-1,16,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
7,44,2,1,1,47.65,49.6,8.1,34.083332,0.48333332,4.25,38.631817,20.430952,5.6257577,38.2,2.4666667,5.633333,44.0,1.0,15.953488,14.0,44.0,0.0,0.0,0.0,2,19,67,0,19,-1,-1,-1,19,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
7,52,1,1,1,19.75,52.583332,11.166667,14.3,0.5,6.1833334,16.064102,22.734,8.346154,15.65,3.5333333,7.9666667,49.0,1.0,16.02174,15.0,52.0,0.0,0.0,0.0,2,530,67,122,18,-1,-1,-1,18,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
7,20,1,1,1,46.0,65.433334,74.45,22.483334,0.0,62.45,31.393333,27.871666,70.38,30.0,23.5,71.0,42.0,11.0,27.588236,29.0,20.0,0.0,0.0,0.0,2,244,115,78,16,-1,-1,-1,16,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
7,32,2,1,1,44.5,39.183334,51.016666,34.5,0.5,32.983334,38.6875,15.905556,45.241665,36.75,3.0,45.75,55.0,1.0,24.72,24.0,32.0,0.0,0.0,0.0,2,233,26,119,54,-1,-1,-1,54,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
7,24,2,1,1,15.466666,753.73334,24.966667,5.6833334,1.0,8.666667,9.861111,85.06061,12.861111,9.566667,9.533334,11.425,49.0,12.0,26.391304,24.0,24.0,0.0,0.0,0.0,3,555,97,47,103,-1,-1,-1,103,2,-1,486,68,5,111,-1,1,1,1.0
7,50,2,1,1,7.133333,122.166664,11.083333,2.9833333,0.0,7.0,3.9846153,31.829166,8.059722,3.7666667,21.458334,7.7833333,39.0,1.0,18.48889,16.0,50.0,0.0,0.0,0.0,2,529,102,27,110,-1,-1,-1,110,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
4,22,2,1,1,55.666668,112.183334,52.316666,37.8,18.95,33.916668,47.183334,49.378334,43.822224,48.65,39.358334,44.366665,47.0,13.0,24.5,19.0,22.0,0.0,0.0,0.0,2,70,77,64,129,-1,-1,-1,129,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
4,2,1,1,1,0.0,0.0,25.116667,0.0,0.0,25.116667,0.0,0.0,25.116667,0.0,0.0,25.116667,15.0,10.0,12.5,12.5,2.0,0.0,0.0,0.0,2,71,46,53,24,-1,-1,-1,24,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
4,2,1,1,1,0.0,0.0,25.116667,0.0,0.0,25.116667,0.0,0.0,25.116667,0.0,0.0,25.116667,15.0,10.0,12.5,12.5,2.0,0.0,0.0,0.0,2,71,46,53,25,-1,-1,-1,24,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
