depot_id,ttl_td_id,ttl_captain_id,ttl_point_a,ttl_point_b,max_diff_minutes_from_point_a,max_diff_minutes_idle_mode,max_diff_minutes_to_point_a,min_diff_minutes_from_point_a,min_diff_minutes_idle_mode,min_diff_minutes_to_point_a,avg_diff_minutes_from_point_a,avg_diff_minutes_idle_mode,avg_diff_minutes_to_point_a,med_diff_minutes_from_point_a,med_diff_minutes_idle_mode,med_diff_minutes_to_point_a,max_speed,min_speed,avg_speed,med_speed,ttl_td_completed,WaktuSebelumProblem,WaktuSebelumInspection,WaktuDiambikUtkRepair,labelencoded,busencoded,point_aencoded,point_bencoded,line_id_yencoded,br_idencoded,br_repair_statusencoded,br_entry_statusencoded,line_id_x_en,rtd_cause_en,br_ttl_days_en,rtd_id_en,route_id_en,bus_model_id_en,driver_id_en,capt_id_en,newlabel_en
10,22,1,1,1,71.88333333333334,60.266666666666666,26.466666666666665,20.433333333333334,1.7333333333333334,19.05,32.30277777777778,44.611666666666665,23.883333333333333,26.09166666666667,50.325,23.766666666666666,61.0,10.0,26.818181818181817,22.5,22.0,0.0,0.0,0.0,2,25,23,42,6,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,0
10,12,1,1,1,16.183333333333334,59.8,18.58333333333333,13.9,6.166666666666667,9.666666666666666,15.122222222222222,27.030555555555555,12.872222222222222,15.283333333333331,17.45,10.366666666666667,25.0,5.0,16.083333333333332,17.5,12.0,0.0,0.0,3.0,1,15,23,139,7,1,3,18,7,0,3,21,4,7,264,-1,1
10,12,1,1,1,16.183333333333334,59.8,18.58333333333333,13.9,6.166666666666667,9.666666666666666,15.122222222222222,27.030555555555555,12.872222222222222,15.283333333333331,17.45,10.366666666666667,25.0,5.0,16.083333333333332,17.5,12.0,0.0,0.0,3.0,1,15,23,139,7,2,3,18,7,0,3,21,4,7,264,-1,1
10,12,1,1,1,16.183333333333334,59.8,18.58333333333333,13.9,6.166666666666667,9.666666666666666,15.122222222222222,27.030555555555555,12.872222222222222,15.283333333333331,17.45,10.366666666666667,25.0,5.0,16.083333333333332,17.5,12.0,0.0,-1.0,3.0,1,15,23,139,7,8,3,18,7,0,3,21,4,7,264,-1,1
10,12,1,1,1,16.183333333333334,59.8,18.58333333333333,13.9,6.166666666666667,9.666666666666666,15.122222222222222,27.030555555555555,12.872222222222222,15.283333333333331,17.45,10.366666666666667,25.0,5.0,16.083333333333332,17.5,12.0,0.0,-2.0,3.0,1,15,23,139,7,52,3,18,7,0,3,21,4,7,264,-1,1
10,12,1,1,1,16.183333333333334,59.8,18.58333333333333,13.9,6.166666666666667,9.666666666666666,15.122222222222222,27.030555555555555,12.872222222222222,15.283333333333331,17.45,10.366666666666667,25.0,5.0,16.083333333333332,17.5,12.0,0.0,-2.0,3.0,1,15,23,139,7,53,3,18,7,0,3,21,4,7,264,-1,1
10,12,1,1,1,16.183333333333334,59.8,18.58333333333333,13.9,6.166666666666667,9.666666666666666,15.122222222222222,27.030555555555555,12.872222222222222,15.283333333333331,17.45,10.366666666666667,25.0,5.0,16.083333333333332,17.5,12.0,0.0,-3.0,3.0,1,15,23,139,7,56,3,18,7,0,3,21,4,7,264,-1,1
10,12,1,1,1,16.183333333333334,59.8,18.58333333333333,13.9,6.166666666666667,9.666666666666666,15.122222222222222,27.030555555555555,12.872222222222222,15.283333333333331,17.45,10.366666666666667,25.0,5.0,16.083333333333332,17.5,12.0,0.0,-3.0,3.0,1,15,23,139,7,89,3,18,7,0,3,21,4,7,264,-1,1
10,12,1,1,1,16.183333333333334,59.8,18.58333333333333,13.9,6.166666666666667,9.666666666666666,15.122222222222222,27.030555555555555,12.872222222222222,15.283333333333331,17.45,10.366666666666667,25.0,5.0,16.083333333333332,17.5,12.0,0.0,0.0,0.0,3,15,23,139,7,-1,-1,-1,7,0,-1,21,4,7,264,-1,1
10,10,2,1,1,72.73333333333333,370.5,84.11666666666666,53.7,44.15,72.48333333333333,62.13333333333333,132.30416666666667,78.3,59.96666666666667,57.28333333333333,78.3,19.0,7.0,14.2,15.5,10.0,0.0,0.0,0.0,2,4,23,93,8,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,0
10,14,2,1,1,75.28333333333333,110.35,87.66666666666667,60.06666666666667,44.266666666666666,64.45,66.625,64.68055555555556,73.09444444444445,65.575,58.266666666666666,67.16666666666667,34.0,11.0,18.46153846153846,17.0,14.0,0.0,0.0,0.0,2,50,23,93,8,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,0
10,14,1,1,1,82.05,82.36666666666666,84.31666666666666,64.46666666666667,26.216666666666665,66.9,70.21666666666667,60.6,77.38333333333334,67.175,60.825,80.93333333333334,30.0,10.0,19.0,17.0,14.0,0.0,0.0,0.0,2,6,23,93,8,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,0
10,14,1,1,1,75.85,111.63333333333334,77.25,66.86666666666666,32.38333333333333,56.88333333333333,70.64999999999999,57.96388888888888,68.14583333333333,69.23333333333333,49.36666666666666,69.225,33.0,8.0,18.928571428571427,16.0,14.0,0.0,0.0,0.0,2,10,23,93,8,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,0
10,14,1,1,1,78.85,121.36666666666666,85.01666666666667,59.18333333333333,26.166666666666668,65.43333333333334,70.84444444444445,50.46944444444444,76.9875,74.5,37.38333333333333,78.75,33.0,7.0,18.214285714285715,16.5,14.0,0.0,0.0,0.0,1,48,23,93,8,6,6,161,8,-1,1,-1,-1,-1,-1,-1,1
10,14,1,1,1,78.85,121.36666666666666,85.01666666666667,59.18333333333333,26.166666666666668,65.43333333333334,70.84444444444445,50.46944444444444,76.9875,74.5,37.38333333333333,78.75,33.0,7.0,18.214285714285715,16.5,14.0,0.0,-1.0,0.0,1,48,23,93,8,10,6,161,8,-1,1,-1,-1,-1,-1,-1,1
10,16,1,1,1,64.46666666666667,55.86666666666667,61.15,50.333333333333336,28.683333333333334,47.56666666666667,56.895833333333336,43.36190476190477,55.29583333333333,56.391666666666666,42.06666666666667,56.23333333333333,40.0,8.0,18.625,15.0,16.0,0.0,0.0,0.0,1,43,23,63,9,5,6,161,9,-1,1,-1,-1,-1,-1,-1,1
10,16,1,1,1,64.46666666666667,55.86666666666667,61.15,50.333333333333336,28.683333333333334,47.56666666666667,56.895833333333336,43.36190476190477,55.29583333333333,56.391666666666666,42.06666666666667,56.23333333333333,40.0,8.0,18.625,15.0,16.0,0.0,-1.0,0.0,1,43,23,63,9,9,6,161,9,-1,1,-1,-1,-1,-1,-1,1
10,32,2,1,1,36.55,97.48333333333332,40.53333333333333,25.45,2.066666666666667,17.066666666666666,29.76875,36.27666666666666,28.3625,27.875,18.78333333333333,30.2,30.0,7.0,18.21875,19.0,32.0,0.0,0.0,0.0,2,34,23,116,10,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,0
10,22,1,1,1,35.13333333333333,90.83333333333331,124.65,26.116666666666667,0.0,18.966666666666665,30.813333333333333,31.89,41.625,32.11666666666667,1.4083333333333332,26.183333333333334,35.0,10.0,19.09090909090909,18.0,22.0,0.0,0.0,0.0,2,0,23,116,10,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,0
10,14,1,1,1,63.55,80.8,58.88333333333333,55.2,50.25,53.55,59.2,62.25555555555555,56.34583333333333,58.85,58.79166666666666,56.475,37.0,6.0,18.714285714285715,15.5,14.0,0.0,0.0,0.0,2,23,23,109,11,-1,-1,-1,11,-1,-1,-1,-1,-1,-1,-1,0
10,2,1,1,1,54.583333333333336,0.0,0.0,54.583333333333336,0.0,0.0,54.583333333333336,0.0,0.0,54.583333333333336,0.0,0.0,32.0,14.0,23.0,23.0,2.0,0.0,0.0,0.0,3,49,23,109,11,-1,-1,-1,11,5,-1,2,6,7,330,-1,1
10,24,2,1,1,62.36666666666667,64.28333333333333,56.23333333333333,31.766666666666666,24.916666666666668,32.46666666666667,48.53611111111112,40.38030303030303,47.15,46.625,38.516666666666666,48.09166666666667,66.0,8.0,28.541666666666668,21.5,24.0,0.0,0.0,0.0,2,22,23,7,12,-1,-1,-1,12,-1,-1,-1,-1,-1,-1,-1,0
10,22,1,1,1,81.83333333333333,49.56666666666667,58.03333333333333,43.9,3.55,43.18333333333333,55.25,30.61833333333333,52.583333333333336,49.458333333333336,31.308333333333334,52.583333333333336,67.0,8.0,27.904761904761905,19.0,22.0,0.0,0.0,0.0,2,20,23,7,12,-1,-1,-1,12,-1,-1,-1,-1,-1,-1,-1,0
10,18,1,1,1,59.516666666666666,48.15,54.18333333333333,43.25,27.766666666666666,39.21666666666667,51.8,36.32708333333333,47.66666666666667,52.0,32.958333333333336,48.63333333333334,63.0,12.0,31.0,24.5,18.0,0.0,0.0,0.0,2,12,23,7,12,-1,-1,-1,12,-1,-1,-1,-1,-1,-1,-1,0
10,12,1,1,1,55.63333333333333,37.53333333333333,53.48333333333333,51.03333333333333,24.3,47.63333333333333,53.27777777777777,32.72,50.96111111111111,53.16666666666666,36.91666666666666,51.766666666666666,73.0,11.0,26.0,18.5,12.0,0.0,0.0,0.0,2,9,23,7,12,-1,-1,-1,12,-1,-1,-1,-1,-1,-1,-1,0
10,20,1,1,1,36.98333333333333,67.45,37.41666666666666,22.916666666666668,22.48333333333333,31.95,31.76666666666667,43.6,35.34,32.666666666666664,53.6,35.63333333333333,40.0,2.0,13.842105263157896,12.0,20.0,0.0,0.0,0.0,2,41,23,97,13,-1,-1,-1,13,-1,-1,-1,-1,-1,-1,-1,0
10,8,1,1,1,86.85,92.03333333333332,119.58333333333331,0.0,32.95,104.4,43.425,69.2611111111111,111.99166666666667,43.425,82.8,111.99166666666667,32.0,7.0,15.142857142857142,9.0,8.0,0.0,0.0,0.0,2,5,23,30,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0
4,22,2,1,1,53.61666666666667,82.3,58.03333333333333,31.466666666666665,13.983333333333333,34.45,44.56666666666666,43.52333333333333,43.56666666666666,44.766666666666666,39.85833333333333,41.31666666666666,63.0,7.0,22.227272727272727,15.5,22.0,0.0,0.0,0.0,2,79,77,64,129,-1,-1,-1,129,-1,-1,-1,-1,-1,-1,-1,0
4,17,2,1,1,62.2,391.81666666666666,75.33333333333333,39.2,0.9833333333333332,45.333333333333336,49.15416666666667,72.49375,54.65833333333333,47.60833333333333,30.35,48.98333333333333,67.0,2.0,25.125,19.0,17.0,0.0,0.0,0.0,2,83,77,64,129,-1,-1,-1,129,-1,-1,-1,-1,-1,-1,-1,0
4,22,2,1,1,62.56666666666667,91.76666666666668,49.8,34.75,19.55,34.65,48.083333333333336,41.44833333333334,43.786111111111104,48.45,35.03333333333333,44.775,53.0,5.0,27.954545454545453,27.5,22.0,0.0,0.0,0.0,2,80,77,64,129,-1,-1,-1,129,-1,-1,-1,-1,-1,-1,-1,0
4,26,2,1,1,53.55,88.21666666666667,116.95,27.183333333333334,0.0,25.55,41.81666666666667,32.58472222222222,52.65238095238095,44.10833333333333,22.625,49.35,69.0,3.0,25.83333333333333,16.5,26.0,0.0,0.0,0.0,2,93,77,64,129,-1,-1,-1,129,-1,-1,-1,-1,-1,-1,-1,0
4,22,2,1,1,68.68333333333334,154.23333333333332,81.41666666666667,34.766666666666666,0.0,34.46666666666667,50.93666666666667,45.248333333333335,53.56111111111111,54.1,36.78333333333333,51.44166666666666,53.0,4.0,24.95238095238096,20.0,22.0,0.0,0.0,0.0,2,74,77,64,129,-1,-1,-1,129,-1,-1,-1,-1,-1,-1,-1,0
4,24,2,1,1,60.9,95.95,55.833333333333336,41.21666666666667,3.55,41.78333333333333,48.53888888888889,41.801515151515154,48.325,47.25833333333333,33.7,48.61666666666667,50.0,5.0,22.13636363636364,15.0,24.0,0.0,0.0,0.0,2,67,77,64,129,-1,-1,-1,129,-1,-1,-1,-1,-1,-1,-1,0
4,22,2,1,1,49.55,163.95,47.833333333333336,37.03333333333333,20.883333333333333,39.68333333333333,42.05,54.235,44.04722222222222,39.56666666666667,33.11666666666667,43.825,52.0,6.0,20.363636363636363,15.5,22.0,0.0,0.0,0.0,2,103,77,64,129,-1,-1,-1,129,-1,-1,-1,-1,-1,-1,-1,0
4,22,2,1,1,48.35,204.38333333333333,89.38333333333334,37.93333333333333,8.316666666666666,35.916666666666664,41.99333333333333,49.70833333333333,50.96666666666667,41.766666666666666,26.83333333333333,44.85,71.0,11.0,27.19047619047619,16.0,22.0,0.0,0.0,0.0,2,77,77,64,129,-1,-1,-1,129,-1,-1,-1,-1,-1,-1,-1,0
4,20,2,1,1,56.016666666666666,192.15,53.31666666666667,36.68333333333333,25.633333333333333,43.516666666666666,47.88333333333333,54.596296296296295,48.25833333333333,49.16666666666667,36.45,48.1,55.0,2.0,21.157894736842103,17.0,20.0,0.0,0.0,0.0,2,147,77,64,129,-1,-1,-1,129,-1,-1,-1,-1,-1,-1,-1,0
