route_id,route_no,route_no_cbts,route_origin,route_destination,route_type,route_category,route_service,route_corridor,route_name,route_desc,route_dist_in,route_dist_out,state_id,depot_id,status,freq_min,freq_max,total_km,km_per_trip,travel_time,deadmileage,line_id,zone,pis_profile
532,T120,T1200,,,TEMPATAN,Normal,RAPID,,Kompleks Sungai Mas ~ Taman Mastiara,Kompleks Sungai Mas ~ Taman Mastiara,,,1,1,0,40.0,40.0,9.00,9.0,30.0,12.0,T120002,1,
533,T180,T1800,,,TEMPATAN,Normal,RAPID,,Taman Dato' Senu ~ Stesen KTM Sentul ~ Stesen LRT Sentul Timur,Taman Dato' Senu ~ Stesen KTM Sentul ~ Stesen LRT Sentul Timur,,,1,1,0,30.0,30.0,17.00,17.0,75.0,6.0,T180002,1,
534,T190,T1900,,,TEMPATAN,Normal,RAPID,,Taman Sri Segambut ~ KTM Segambut,Taman Sri Segambut ~ KTM Segambut,,,1,1,0,15.0,15.0,11.10,13.0,45.0,11.0,T190002,3,
535,T200,T2000,,,TEMPATAN,Normal,RAPID,,Stesen LRT Gombak ~ UIA Gombak,Stesen LRT Gombak ~ UIA Gombak,,,1,3,0,15.0,30.0,19.70,20.0,50.0,11.0,T200002,1,
536,T201,T2010,,,TEMPATAN,Normal,RAPID,,Stesen LRT Gombak ~ Hab Wira Damai,Stesen LRT Gombak ~ Hab Wira Damai,,,1,3,0,15.0,15.0,24.10,12.0,150.0,26.0,T201002,2,
537,T202,T2020,,,TEMPATAN,Normal,RAPID,,Stesen LRT Taman Melati ~ Taman Melewar,Stesen LRT Taman Melati ~ Taman Melewar,,,1,3,0,15.0,30.0,15.40,15.0,80.0,11.0,T202002,2,
538,T203,T2030,,,TEMPATAN,Normal,RAPID,,Stesen LRT Taman Melati ~ Danau Kota,Stesen LRT Taman Melati ~ Danau Kota,,,1,3,0,15.0,30.0,12.20,12.0,60.0,11.0,T203002,1,
539,T204,T2040,,,TEMPATAN,Normal,RAPID,,Kampung Nakhoda ~ Taman Greenwood,Kampung Nakhoda ~ Taman Greenwood,,,1,1,0,20.0,20.0,15.00,9.0,60.0,10.0,T204002,2,
540,T221,T2210,,,TEMPATAN,Normal,RAPID,,Stesen LRT Sri Rampai ~ Taman Melawati,Stesen LRT Sri Rampai ~ Taman Melawati,,,1,3,0,15.0,30.0,17.50,9.0,80.0,6.0,T221002,1,
541,T222,T2220,,,TEMPATAN,Normal,RAPID,,Stesen LRT Sri Rampai ~ UKAY Perdana,Stesen LRT Sri Rampai ~ UKAY Perdana,,,1,3,0,15.0,15.0,24.30,16.0,90.0,8.0,T222002,2,
542,T223,T2230,,,TEMPATAN,Normal,RAPID,,"Stesen LRT Setiawangsa ~ AU3, Jentayu, Keramat","Stesen LRT Setiawangsa ~ AU3, Jentayu, Keramat",,,1,3,0,15.0,30.0,9.40,9.0,60.0,14.0,T223002,1,
543,T224,T2240,,,TEMPATAN,Normal,RAPID,,Stesen LRT Dato Keramat ~ Desa Pandan,Stesen LRT Dato Keramat ~ Desa Pandan,,,1,3,0,15.0,30.0,6.50,7.0,60.0,14.0,T224002,1,
544,T250,T2500,,,TEMPATAN,Normal,RAPID,,Stesen LRT Wangsa Maju ~ Jalan Genting Klang PV15,Stesen LRT Wangsa Maju ~ Jalan Genting Klang PV15,,,1,3,0,15.0,30.0,13.60,15.0,60.0,8.0,T250002,1,
545,T251,T2510,,,TEMPATAN,Normal,RAPID,,Stesen LRT Sri Rampai ~ Seksyen 10 Wangsa Maju,Stesen LRT Sri Rampai ~ Seksyen 10 Wangsa Maju,,,1,3,0,15.0,15.0,9.70,10.0,45.0,11.0,T251002,1,
546,T300,T3000,HAB BUKIT INDAH,AMPANG POINT VIA JALAN RASMI,TEMPATAN,Normal,RAPID,,HAB BUKIT INDAH :: AMPANG POINT,Hab Bukit Indah ~ Ampang Point via Jalan Rasmi,,10400.0,1,4,1,15.0,30.0,10.4,10.4,60.0,16,T300002,1,
547,T301,T3010,HAB TAMAN MULIA JAYA,AMPANG POINT VIA JALAN MERDEKA,TEMPATAN,Normal,RAPID,,HUB TMN MULIA JAYA :: AJ182 AMPANG POINT,Hab Taman Mulia Jaya ~ Ampang Point via Jalan Merdeka,8100.0,8000.0,1,4,1,15.0,30.0,16.1,8.1,80.0,16,T301002,1,
548,T302,T3020,HAB LEMBAH JAYA UTARA,AMPANG POINT,TEMPATAN,Normal,RAPID,,HUB LEMBAH JAYA UTARA :: AJ182 AMPANG POINT,Hab Lembah Jaya Utara ~ Ampang Point,,10900.0,1,4,1,15.0,15.0,10.9,10.9,60.0,18,T302002,1,
549,T350,T3500,STESEN LRT CEMPAKA,TAMAN MAWAR,TEMPATAN,Normal,RAPID,,LRT CEMPAKA :: LOJI,Stesen LRT Cempaka ~ Taman Mawar,,14200.0,1,4,1,15.0,15.0,14.2,14.2,60.0,7.6,T350002,1,
550,T351,T3510,STESEN LRT CEMPAKA,TAMAN BUKIT PERMAI,TEMPATAN,Normal,RAPID,,LRT CEMPAKA :: FLAT,Stesen LRT Cempaka ~ Taman Bukit Permai,,16000.0,1,4,1,15.0,15.0,16,16.0,60.0,7.6,T351002,1,
551,T352,T3520,,,TEMPATAN,Normal,RAPID,,TMN SHAMELIN :: LRT MALURI,Taman Shamelin ~ Maluri ~ IKEA Cochrane,,,1,4,0,15.0,15.0,17.60,,60.0,3.1,T352002,1,
552,T400,T4000,,,TEMPATAN,Normal,RAPID,,Bandar Tun Razak ~ Stesen LRT Maluri,Bandar Tun Razak ~ Stesen LRT Maluri,,,1,4,0,20.0,20.0,17.90,,60.0,9.8,T400002,1,
553,T401,T4010,,,TEMPATAN,Normal,RAPID,,Bandar Sri Permaisuri ~ Stesen LRT Maluri,Bandar Sri Permaisuri ~ Stesen LRT Maluri,,,1,4,0,20.0,20.0,18.70,,70.0,9.8,T401002,1,
